,0
0,2
1,19
2,23
3,24
4,34
5,43
6,51
7,73
8,81
9,85
10,97
11,98
12,99
13,105
14,121
15,123
16,131
17,137
18,144
19,151
20,156
21,157
22,178
23,186
24,191
25,197
26,206
27,230
28,232
29,233
30,234
31,247
32,269
33,282
34,283
35,288
36,295
37,297
38,300
39,308
40,327
41,330
42,333
43,349
44,358
45,382
46,383
47,404
48,416
49,419
50,429
51,432
52,433
53,436
54,448
55,456
56,491
57,493
58,495
59,497
60,499
61,515
62,519
63,522
64,561
65,571
66,582
67,597
68,613
69,614
70,622
71,623
72,636
73,640
74,649
75,650
76,683
77,697
78,707
79,723
80,725
81,738
82,749
83,809
84,814
85,819
86,834
87,853
88,854
89,858
90,867
91,877
92,880
93,886
94,894
95,899
96,903
97,924
98,939
99,942
100,947
101,954
102,966
103,967
104,973
105,974
106,981
107,982
108,996
109,1002
110,1007
111,1008
112,1011
113,1034
114,1056
115,1059
116,1060
117,1063
118,1065
119,1121
120,1130
121,1140
122,1152
123,1159
124,1160
125,1176
126,1177
127,1189
128,1198
129,1204
130,1213
131,1231
132,1245
133,1250
134,1261
135,1265
136,1274
137,1277
138,1281
139,1286
140,1292
141,1294
142,1300
143,1317
144,1324
145,1326
146,1333
147,1350
148,1353
149,1371
150,1379
151,1393
152,1405
153,1407
154,1412
155,1428
156,1436
157,1446
158,1453
159,1457
160,1458
161,1460
162,1467
163,1480
164,1513
165,1515
166,1520
167,1533
168,1545
169,1546
170,1548
171,1555
172,1560
173,1563
174,1564
175,1584
176,1591
177,1595
178,1607
179,1612
180,1620
181,1626
182,1638
183,1650
184,1654
185,1681
186,1698
187,1699
188,1722
189,1736
190,1754
191,1760
192,1774
193,1775
194,1780
195,1791
196,1793
197,1805
198,1813
199,1816
200,1822
201,1824
202,1830
203,1847
204,1854
205,1883
206,1893
207,1897
208,1935
209,1945
210,1946
211,1979
212,1983
213,1987
214,2008
215,2013
216,2024
217,2028
218,2035
219,2038
220,2045
221,2070
222,2084
223,2102
224,2103
225,2108
226,2110
227,2113
228,2124
229,2130
230,2136
231,2138
232,2148
233,2167
234,2170
235,2183
236,2214
237,2216
238,2237
239,2246
240,2265
241,2274
242,2299
243,2301
244,2313
245,2320
246,2325
247,2329
248,2331
249,2338
250,2340
251,2344
252,2347
253,2352
254,2354
255,2357
256,2364
257,2372
258,2374
259,2387
260,2397
261,2398
262,2400
263,2410
264,2420
265,2430
266,2432
267,2455
268,2463
269,2478
270,2506
271,2511
272,2513
273,2520
274,2526
275,2529
276,2534
277,2535
278,2541
279,2559
280,2564
281,2577
282,2585
283,2595
284,2596
285,2599
286,2613
287,2628
288,2636
289,2649
290,2651
291,2682
292,2689
293,2705
294,2709
295,2711
296,2713
297,2725
298,2733
299,2744
300,2749
301,2764
302,2776
303,2790
304,2794
305,2796
306,2811
307,2828
308,2834
309,2838
310,2842
311,2846
312,2875
313,2880
314,2886
315,2892
316,2916
317,2924
318,2929
319,2936
320,2950
321,2955
322,2956
323,2965
324,2966
325,2968
326,3001
327,3009
328,3011
329,3032
330,3038
331,3043
332,3049
333,3055
334,3067
335,3072
336,3075
337,3084
338,3101
339,3117
340,3121
341,3142
342,3153
343,3159
344,3163
345,3175
346,3190
347,3214
348,3228
349,3229
350,3238
351,3256
352,3278
353,3282
354,3287
355,3305
356,3307
357,3311
358,3314
359,3346
360,3353
361,3396
362,3405
363,3421
364,3426
365,3427
366,3430
367,3431
368,3440
369,3444
370,3464
371,3468
372,3469
373,3477
374,3491
375,3493
376,3498
377,3501
378,3516
379,3527
380,3548
381,3579
382,3580
383,3586
384,3595
385,3601
386,3609
387,3620
388,3627
389,3629
390,3630
391,3631
392,3634
393,3640
394,3650
395,3652
396,3658
397,3663
398,3671
399,3673
400,3674
401,3679
402,3686
403,3691
404,3694
405,3696
406,3713
407,3761
408,3765
409,3768
410,3772
411,3773
412,3780
413,3796
414,3815
415,3820
416,3824
417,3834
418,3844
419,3848
420,3856
421,3859
422,3878
423,3880
424,3886
425,3892
426,3898
427,3927
428,3934
429,3940
430,3941
431,3944
432,3953
433,3960
434,3966
435,3975
436,3976
437,3980
438,3989
439,3999
440,4011
441,4053
442,4066
443,4069
444,4077
445,4085
446,4112
447,4113
448,4115
449,4117
450,4124
451,4126
452,4139
453,4166
454,4202
455,4215
456,4222
457,4230
458,4254
459,4257
460,4261
461,4262
462,4270
463,4282
464,4285
465,4294
466,4297
467,4301
468,4327
469,4346
470,4351
471,4376
472,4378
473,4385
474,4405
475,4408
476,4413
477,4416
478,4425
479,4443
480,4446
481,4461
482,4464
483,4479
484,4496
485,4499
486,4523
487,4536
488,4549
489,4554
490,4557
491,4563
492,4581
493,4583
494,4590
495,4597
496,4600
497,4607
498,4618
499,4622
500,4627
501,4644
502,4654
503,4657
504,4660
505,4675
506,4676
507,4687
508,4693
509,4696
510,4697
511,4707
512,4722
513,4725
514,4734
515,4753
516,4760
517,4803
518,4805
519,4825
520,4832
521,4859
522,4868
523,4871
524,4891
525,4893
526,4895
527,4898
528,4911
529,4917
530,4937
531,4955
532,4962
533,4965
534,4974
535,4978
536,4983
537,4986
538,5001
539,5041
540,5045
541,5048
542,5050
543,5051
544,5062
545,5064
546,5084
547,5099
548,5103
549,5108
550,5109
551,5110
552,5125
553,5127
554,5129
555,5130
556,5144
557,5146
558,5147
559,5157
560,5165
561,5174
562,5197
563,5202
564,5205
565,5220
566,5221
567,5224
568,5225
569,5236
570,5237
571,5240
572,5258
573,5281
574,5284
575,5287
576,5294
577,5300
578,5311
579,5319
580,5334
581,5337
582,5344
583,5346
584,5355
585,5389
586,5397
587,5398
588,5425
589,5434
590,5435
591,5441
592,5448
593,5451
594,5463
595,5464
596,5470
597,5472
598,5477
599,5480
600,5483
601,5488
602,5490
603,5495
604,5517
605,5530
606,5553
607,5561
608,5579
609,5586
610,5591
611,5598
612,5606
613,5608
614,5609
615,5613
616,5620
617,5647
618,5655
619,5665
620,5670
621,5687
622,5689
623,5690
624,5719
625,5739
626,5748
627,5751
628,5778
629,5803
630,5804
631,5814
632,5816
633,5819
634,5829
635,5830
636,5831
637,5847
638,5860
639,5862
640,5870
641,5871
642,5877
643,5900
644,5901
645,5907
646,5914
647,5918
648,5935
649,5972
650,5973
651,5985
652,5993
653,5999
654,6003
655,6015
656,6023
657,6027
658,6040
659,6052
660,6054
661,6055
662,6058
663,6069
664,6071
665,6080
666,6082
667,6083
668,6087
669,6091
670,6106
671,6107
672,6112
673,6130
674,6133
675,6136
676,6141
677,6146
678,6155
679,6168
680,6171
681,6183
682,6191
683,6233
684,6243
685,6250
686,6257
687,6259
688,6262
689,6277
690,6278
691,6280
692,6285
693,6294
694,6313
695,6319
696,6323
697,6325
698,6327
699,6331
700,6354
701,6356
702,6367
703,6376
704,6377
705,6381
706,6389
707,6398
708,6420
709,6426
710,6431
711,6435
712,6446
713,6463
714,6464
715,6466
716,6471
717,6473
718,6483
719,6493
720,6497
721,6498
722,6512
723,6515
724,6525
725,6528
726,6529
727,6550
728,6553
729,6563
730,6568
731,6570
732,6571
733,6572
734,6573
735,6575
736,6588
737,6594
738,6607
739,6608
740,6629
741,6630
742,6635
743,6643
744,6647
745,6663
746,6664
747,6666
748,6676
749,6696
750,6703
751,6714
752,6743
753,6749
754,6752
755,6767
756,6775
757,6777
758,6791
759,6809
760,6825
761,6830
762,6833
763,6835
764,6845
765,6852
766,6855
767,6857
768,6859
769,6866
770,6875
771,6896
772,6916
773,6929
774,6943
775,6971
776,6975
777,6985
778,6994
779,7000
780,7018
781,7034
782,7038
783,7050
784,7058
785,7067
786,7074
787,7076
788,7083
789,7093
790,7096
791,7108
792,7114
793,7132
794,7141
795,7146
796,7149
797,7161
798,7168
799,7169
800,7175
801,7202
802,7214
803,7221
804,7232
805,7237
806,7243
807,7250
808,7253
809,7256
810,7272
811,7276
812,7281
813,7293
814,7297
815,7301
816,7320
817,7324
818,7343
819,7345
820,7358
821,7359
822,7364
823,7369
824,7388
825,7393
826,7443
827,7447
828,7451
829,7472
830,7473
831,7481
832,7482
833,7501
834,7509
835,7518
836,7532
837,7534
838,7540
839,7547
840,7553
841,7556
842,7564
843,7565
844,7574
845,7583
846,7603
847,7629
848,7647
849,7651
850,7657
851,7659
852,7661
853,7680
854,7689
855,7690
856,7695
857,7728
858,7755
859,7756
860,7761
861,7770
862,7774
863,7783
864,7822
865,7829
866,7842
867,7860
868,7877
869,7878
870,7885
871,7906
872,7910
873,7924
874,7929
875,7938
876,7939
877,7953
878,7958
879,7971
880,7981
881,7988
882,8020
883,8026
884,8072
885,8073
886,8098
887,8108
888,8115
889,8120
890,8124
891,8140
892,8156
893,8170
894,8197
895,8200
896,8204
897,8211
898,8226
899,8235
900,8239
901,8255
902,8268
903,8276
904,8278
905,8306
906,8311
907,8317
908,8320
909,8323
910,8343
911,8362
912,8369
913,8373
914,8384
915,8386
916,8387
917,8399
918,8416
919,8431
920,8440
921,8446
922,8462
923,8466
924,8467
925,8474
926,8490
927,8491
928,8501
929,8520
930,8523
931,8540
932,8555
933,8565
934,8577
935,8581
936,8593
937,8594
938,8607
939,8610
940,8612
941,8627
942,8634
943,8639
944,8646
945,8650
946,8653
947,8663
948,8707
949,8710
950,8731
951,8739
952,8742
953,8759
954,8765
955,8783
956,8803
957,8805
958,8809
959,8824
960,8828
961,8834
962,8845
963,8856
964,8860
965,8862
966,8866
967,8871
968,8890
969,8898
970,8900
971,8914
972,8931
973,8946
974,8961
975,8968
976,8978
977,8983
978,8991
979,8994
980,8998
981,9006
982,9020
983,9023
984,9042
985,9050
986,9054
987,9057
988,9060
989,9063
990,9067
991,9072
992,9077
993,9080
994,9081
995,9082
996,9129
997,9139
998,9148
999,9156
1000,9164
1001,9169
1002,9174
1003,9182
1004,9226
1005,9249
1006,9272
1007,9279
1008,9296
1009,9304
1010,9305
1011,9308
1012,9313
1013,9320
1014,9329
1015,9332
1016,9336
1017,9337
1018,9339
1019,9342
1020,9348
1021,9350
1022,9358
1023,9371
1024,9377
1025,9381
1026,9384
1027,9394
1028,9400
1029,9401
1030,9416
1031,9436
1032,9440
1033,9442
1034,9444
1035,9448
1036,9460
1037,9464
1038,9470
1039,9497
1040,9524
1041,9526
1042,9536
1043,9538
1044,9546
1045,9548
1046,9557
1047,9561
1048,9574
1049,9575
