,0
0,2
1,8
2,13
3,19
4,23
5,24
6,36
7,43
8,45
9,51
10,73
11,81
12,97
13,98
14,100
15,105
16,117
17,121
18,123
19,144
20,151
21,156
22,157
23,160
24,186
25,195
26,196
27,197
28,205
29,230
30,232
31,234
32,247
33,265
34,268
35,269
36,283
37,295
38,297
39,300
40,308
41,330
42,333
43,349
44,358
45,383
46,404
47,416
48,419
49,432
50,448
51,456
52,493
53,495
54,497
55,499
56,515
57,519
58,561
59,571
60,582
61,586
62,597
63,614
64,622
65,636
66,640
67,646
68,649
69,661
70,683
71,697
72,707
73,723
74,725
75,738
76,749
77,810
78,814
79,819
80,853
81,854
82,867
83,877
84,894
85,899
86,902
87,924
88,927
89,939
90,947
91,954
92,966
93,967
94,973
95,974
96,982
97,1002
98,1008
99,1011
100,1012
101,1034
102,1056
103,1059
104,1065
105,1121
106,1130
107,1145
108,1159
109,1160
110,1176
111,1177
112,1189
113,1198
114,1204
115,1213
116,1231
117,1245
118,1250
119,1261
120,1265
121,1274
122,1277
123,1281
124,1292
125,1294
126,1317
127,1326
128,1333
129,1350
130,1362
131,1367
132,1412
133,1428
134,1436
135,1446
136,1457
137,1458
138,1460
139,1467
140,1480
141,1513
142,1515
143,1521
144,1529
145,1545
146,1546
147,1555
148,1562
149,1563
150,1564
151,1584
152,1591
153,1595
154,1612
155,1620
156,1626
157,1650
158,1654
159,1681
160,1698
161,1699
162,1716
163,1749
164,1754
165,1760
166,1774
167,1778
168,1780
169,1791
170,1805
171,1813
172,1816
173,1822
174,1824
175,1830
176,1847
177,1883
178,1893
179,1935
180,1945
181,1946
182,2008
183,2013
184,2024
185,2028
186,2035
187,2038
188,2045
189,2046
190,2054
191,2062
192,2084
193,2102
194,2103
195,2110
196,2113
197,2124
198,2138
199,2148
200,2167
201,2183
202,2206
203,2214
204,2217
205,2221
206,2231
207,2237
208,2274
209,2299
210,2301
211,2313
212,2325
213,2329
214,2338
215,2340
216,2344
217,2352
218,2354
219,2372
220,2374
221,2387
222,2397
223,2400
224,2420
225,2428
226,2430
227,2432
228,2433
229,2455
230,2463
231,2478
232,2506
233,2511
234,2520
235,2526
236,2534
237,2535
238,2541
239,2559
240,2596
241,2599
242,2613
243,2649
244,2651
245,2656
246,2689
247,2705
248,2709
249,2711
250,2713
251,2723
252,2725
253,2733
254,2744
255,2749
256,2757
257,2790
258,2794
259,2796
260,2811
261,2828
262,2838
263,2842
264,2846
265,2854
266,2875
267,2880
268,2892
269,2916
270,2924
271,2929
272,2936
273,2950
274,2955
275,2965
276,2966
277,2968
278,3001
279,3002
280,3006
281,3011
282,3032
283,3038
284,3043
285,3049
286,3055
287,3067
288,3072
289,3084
290,3101
291,3117
292,3121
293,3142
294,3153
295,3159
296,3163
297,3175
298,3190
299,3214
300,3228
301,3229
302,3260
303,3278
304,3282
305,3287
306,3305
307,3311
308,3314
309,3346
310,3353
311,3359
312,3387
313,3393
314,3405
315,3426
316,3431
317,3440
318,3444
319,3464
320,3468
321,3469
322,3477
323,3491
324,3493
325,3498
326,3501
327,3516
328,3527
329,3531
330,3548
331,3580
332,3586
333,3595
334,3601
335,3605
336,3609
337,3620
338,3627
339,3629
340,3630
341,3631
342,3634
343,3650
344,3652
345,3658
346,3663
347,3674
348,3679
349,3686
350,3691
351,3694
352,3713
353,3717
354,3772
355,3773
356,3774
357,3796
358,3815
359,3820
360,3824
361,3834
362,3844
363,3848
364,3859
365,3878
366,3880
367,3892
368,3898
369,3926
370,3927
371,3934
372,3941
373,3944
374,3953
375,3960
376,3966
377,3971
378,3975
379,3980
380,3989
381,3999
382,4027
383,4053
384,4066
385,4069
386,4077
387,4085
388,4112
389,4113
390,4115
391,4117
392,4124
393,4166
394,4186
395,4222
396,4230
397,4254
398,4257
399,4261
400,4262
401,4270
402,4282
403,4294
404,4301
405,4351
406,4376
407,4381
408,4385
409,4392
410,4405
411,4408
412,4413
413,4416
414,4425
415,4443
416,4446
417,4461
418,4465
419,4479
420,4496
421,4499
422,4523
423,4536
424,4549
425,4554
426,4563
427,4579
428,4581
429,4583
430,4597
431,4600
432,4607
433,4618
434,4622
435,4653
436,4654
437,4660
438,4673
439,4675
440,4676
441,4678
442,4687
443,4693
444,4696
445,4697
446,4707
447,4722
448,4725
449,4753
450,4760
451,4803
452,4825
453,4826
454,4859
455,4861
456,4868
457,4871
458,4891
459,4893
460,4895
461,4898
462,4911
463,4929
464,4937
465,4955
466,4962
467,4965
468,4974
469,4977
470,4983
471,4986
472,4991
473,5001
474,5006
475,5041
476,5045
477,5048
478,5062
479,5064
480,5084
481,5099
482,5103
483,5109
484,5110
485,5125
486,5127
487,5129
488,5144
489,5146
490,5147
491,5149
492,5157
493,5165
494,5197
495,5202
496,5205
497,5212
498,5220
499,5221
500,5224
501,5225
502,5236
503,5237
504,5240
505,5258
506,5268
507,5273
508,5281
509,5284
510,5287
511,5294
512,5300
513,5311
514,5319
515,5340
516,5355
517,5356
518,5376
519,5398
520,5425
521,5434
522,5441
523,5448
524,5451
525,5463
526,5470
527,5472
528,5477
529,5480
530,5490
531,5517
532,5530
533,5542
534,5548
535,5553
536,5561
537,5579
538,5586
539,5591
540,5598
541,5608
542,5609
543,5613
544,5620
545,5647
546,5689
547,5690
548,5715
549,5719
550,5748
551,5751
552,5778
553,5803
554,5804
555,5814
556,5816
557,5819
558,5829
559,5830
560,5831
561,5862
562,5870
563,5871
564,5901
565,5907
566,5914
567,5918
568,5935
569,5963
570,5972
571,5973
572,5974
573,5985
574,5993
575,5999
576,6003
577,6015
578,6023
579,6036
580,6052
581,6054
582,6058
583,6069
584,6071
585,6087
586,6091
587,6112
588,6130
589,6133
590,6136
591,6141
592,6146
593,6155
594,6168
595,6171
596,6183
597,6208
598,6233
599,6243
600,6250
601,6259
602,6262
603,6267
604,6277
605,6278
606,6280
607,6285
608,6294
609,6313
610,6319
611,6327
612,6356
613,6367
614,6370
615,6377
616,6378
617,6381
618,6389
619,6390
620,6398
621,6420
622,6431
623,6435
624,6440
625,6446
626,6463
627,6464
628,6466
629,6471
630,6473
631,6483
632,6497
633,6498
634,6512
635,6515
636,6525
637,6529
638,6550
639,6553
640,6554
641,6563
642,6568
643,6571
644,6573
645,6575
646,6588
647,6594
648,6635
649,6643
650,6647
651,6664
652,6666
653,6676
654,6678
655,6696
656,6703
657,6743
658,6749
659,6752
660,6767
661,6777
662,6791
663,6825
664,6830
665,6833
666,6835
667,6837
668,6852
669,6855
670,6857
671,6859
672,6866
673,6896
674,6916
675,6929
676,6932
677,6943
678,6971
679,6973
680,6975
681,6985
682,6987
683,6994
684,7000
685,7018
686,7038
687,7050
688,7058
689,7067
690,7077
691,7083
692,7093
693,7096
694,7114
695,7141
696,7146
697,7149
698,7156
699,7161
700,7168
701,7169
702,7175
703,7186
704,7213
705,7214
706,7221
707,7232
708,7237
709,7243
710,7250
711,7252
712,7272
713,7276
714,7281
715,7293
716,7297
717,7301
718,7324
719,7343
720,7345
721,7358
722,7359
723,7368
724,7369
725,7388
726,7393
727,7408
728,7443
729,7447
730,7467
731,7472
732,7473
733,7482
734,7507
735,7509
736,7518
737,7521
738,7547
739,7550
740,7556
741,7564
742,7565
743,7583
744,7603
745,7625
746,7633
747,7647
748,7651
749,7657
750,7659
751,7661
752,7680
753,7689
754,7690
755,7695
756,7728
757,7756
758,7774
759,7783
760,7822
761,7829
762,7842
763,7852
764,7854
765,7877
766,7878
767,7885
768,7906
769,7910
770,7930
771,7938
772,7939
773,7953
774,7958
775,7971
776,7988
777,7989
778,8007
779,8020
780,8026
781,8037
782,8072
783,8098
784,8120
785,8124
