,0
0,1
1,2
2,3
3,5
4,6
5,8
6,9
7,13
8,17
9,28
10,29
11,34
12,36
13,46
14,48
15,53
16,56
17,60
18,65
19,81
20,85
21,86
22,92
23,94
24,99
25,100
26,105
27,123
28,125
29,133
30,137
31,143
32,149
33,155
34,163
35,166
36,173
37,177
38,184
39,191
40,195
41,196
42,198
43,199
44,206
45,209
46,210
47,213
48,214
49,221
50,224
51,229
52,230
53,231
54,232
55,233
56,235
57,236
58,237
59,238
60,241
61,245
62,251
63,257
64,265
65,268
66,274
67,275
68,279
69,280
70,281
71,285
72,288
73,290
74,291
75,294
76,295
77,300
78,301
79,302
80,303
81,306
82,311
83,315
84,324
85,326
86,327
87,330
88,336
89,338
90,339
91,343
92,345
93,347
94,351
95,357
96,365
97,371
98,375
99,376
100,380
101,388
102,395
103,398
104,401
105,411
106,415
107,424
108,425
109,426
110,428
111,429
112,436
113,437
114,438
115,445
116,447
117,449
118,450
119,457
120,468
121,470
122,472
123,476
124,480
125,481
126,486
127,487
128,494
129,495
130,501
131,503
132,506
133,508
134,511
135,516
136,523
137,524
138,527
139,530
140,531
141,533
142,535
143,544
144,551
145,554
146,563
147,570
148,573
149,579
150,581
151,583
152,585
153,586
154,590
155,592
156,598
157,607
158,608
159,611
160,615
161,617
162,621
163,623
164,624
165,627
166,630
167,632
168,635
169,639
170,640
171,641
172,646
173,655
174,656
175,660
176,661
177,664
178,669
179,670
180,671
181,675
182,678
183,683
184,685
185,694
186,696
187,700
188,702
189,714
190,717
191,720
192,721
193,730
194,736
195,737
196,741
197,747
198,751
199,752
200,753
201,756
202,757
203,760
204,772
205,773
206,786
207,791
208,795
209,797
210,798
211,809
212,810
213,813
214,814
215,834
216,835
217,836
218,838
219,843
220,844
221,847
222,850
223,852
224,858
225,859
226,861
227,864
228,867
229,868
230,876
231,880
232,886
233,888
234,889
235,894
236,899
237,902
238,907
239,920
240,924
241,926
242,927
243,929
244,935
245,939
246,940
247,941
248,948
249,957
250,958
251,962
252,965
253,966
254,972
255,974
256,978
257,981
258,982
259,984
260,989
261,992
262,993
263,996
264,1003
265,1007
266,1008
267,1010
268,1014
269,1016
270,1019
271,1025
272,1028
273,1033
274,1038
275,1041
276,1047
277,1049
278,1057
279,1058
280,1059
281,1060
282,1061
283,1066
284,1068
285,1074
286,1076
287,1078
288,1082
289,1088
290,1089
291,1090
292,1097
293,1098
294,1105
295,1107
296,1108
297,1110
298,1114
299,1117
300,1118
301,1119
302,1120
303,1121
304,1127
305,1129
306,1132
307,1139
308,1140
309,1144
310,1145
311,1149
312,1152
313,1155
314,1157
315,1158
316,1163
317,1167
318,1171
319,1175
320,1181
321,1184
322,1190
323,1191
324,1194
325,1204
326,1205
327,1206
328,1210
329,1211
330,1217
331,1218
332,1219
333,1221
334,1223
335,1224
336,1225
337,1226
338,1227
339,1229
340,1238
341,1239
342,1244
343,1248
344,1255
345,1260
346,1261
347,1263
348,1273
349,1284
350,1285
351,1286
352,1289
353,1293
354,1294
355,1297
356,1298
357,1299
358,1300
359,1301
360,1309
361,1312
362,1315
363,1317
364,1321
365,1330
366,1332
367,1340
368,1345
369,1351
370,1353
371,1358
372,1359
373,1364
374,1367
375,1369
376,1371
377,1377
378,1378
379,1385
380,1386
381,1391
382,1394
383,1396
384,1398
385,1403
386,1405
387,1406
388,1415
389,1424
390,1426
391,1429
392,1433
393,1435
394,1440
395,1442
396,1454
397,1456
398,1461
399,1465
400,1467
401,1471
402,1472
403,1474
404,1475
405,1478
406,1480
407,1483
408,1485
409,1493
410,1508
411,1511
412,1518
413,1521
414,1525
415,1528
416,1529
417,1530
418,1533
419,1535
420,1537
421,1540
422,1543
423,1552
424,1556
425,1558
426,1559
427,1560
428,1566
429,1576
430,1577
431,1579
432,1582
433,1587
434,1606
435,1608
436,1609
437,1615
438,1616
439,1617
440,1618
441,1621
442,1623
443,1632
444,1633
445,1635
446,1638
447,1639
448,1641
449,1646
450,1648
451,1654
452,1656
453,1659
454,1661
455,1664
456,1666
457,1669
458,1673
459,1674
460,1692
461,1693
462,1697
463,1699
464,1700
465,1702
466,1703
467,1708
468,1718
469,1721
470,1724
471,1729
472,1731
473,1732
474,1734
475,1741
476,1744
477,1746
478,1749
479,1751
480,1755
481,1757
482,1765
483,1766
484,1767
485,1772
486,1773
487,1778
488,1780
489,1791
490,1801
491,1803
492,1819
493,1822
494,1825
495,1827
496,1831
497,1838
498,1839
499,1841
500,1853
501,1854
502,1856
503,1860
504,1863
505,1871
506,1883
507,1884
508,1886
509,1887
510,1888
511,1897
512,1898
513,1901
514,1902
515,1905
516,1906
517,1908
518,1913
519,1920
520,1921
521,1934
522,1942
523,1945
524,1952
525,1953
526,1954
527,1955
528,1957
529,1960
530,1963
531,1969
532,1973
533,1982
534,1987
535,1989
536,1990
537,1992
538,1994
539,1998
540,1999
541,2000
542,2001
543,2008
544,2010
545,2016
546,2018
547,2019
548,2020
549,2022
550,2023
551,2025
552,2031
553,2034
554,2036
555,2046
556,2051
557,2052
558,2054
559,2055
560,2057
561,2062
562,2066
563,2067
564,2074
565,2078
566,2090
567,2092
568,2096
569,2100
570,2105
571,2107
572,2108
573,2114
574,2117
575,2119
576,2126
577,2129
578,2130
579,2131
580,2135
581,2136
582,2140
583,2142
584,2144
585,2146
586,2152
587,2156
588,2162
589,2166
590,2168
591,2169
592,2170
593,2173
594,2179
595,2182
596,2183
597,2199
598,2205
599,2208
600,2211
601,2213
602,2216
603,2221
604,2226
605,2231
606,2240
607,2245
608,2246
609,2249
610,2252
611,2253
612,2258
613,2259
614,2261
615,2264
616,2266
617,2267
618,2269
619,2273
620,2274
621,2276
622,2277
623,2285
624,2289
625,2290
626,2291
627,2292
628,2301
629,2302
630,2304
631,2308
632,2309
633,2312
634,2320
635,2323
636,2327
637,2331
638,2332
639,2333
640,2335
641,2339
642,2347
643,2351
644,2353
645,2355
646,2356
647,2358
648,2364
649,2369
650,2371
651,2382
652,2386
653,2387
654,2392
655,2399
656,2410
657,2411
658,2413
659,2418
660,2423
661,2427
662,2428
663,2432
664,2433
665,2434
666,2435
667,2437
668,2443
669,2455
670,2460
671,2463
672,2465
673,2470
674,2472
675,2475
676,2478
677,2480
678,2484
679,2487
680,2488
681,2501
682,2505
683,2506
684,2508
685,2513
686,2514
687,2517
688,2521
689,2524
690,2529
691,2531
692,2533
693,2541
694,2542
695,2548
696,2550
697,2557
698,2558
699,2564
700,2565
701,2566
702,2568
703,2572
704,2573
705,2577
706,2579
707,2581
708,2582
709,2585
710,2593
711,2596
712,2600
713,2621
714,2622
715,2624
716,2625
717,2636
718,2639
719,2642
720,2647
721,2650
722,2656
723,2660
724,2665
725,2667
726,2669
727,2673
728,2674
729,2677
730,2678
731,2679
732,2682
733,2683
734,2687
735,2694
736,2695
737,2697
738,2699
739,2701
740,2702
741,2713
742,2719
743,2722
744,2723
745,2724
746,2725
747,2727
748,2730
749,2731
750,2734
751,2735
752,2736
753,2737
754,2740
755,2746
756,2757
757,2758
758,2760
759,2763
760,2764
761,2774
762,2776
763,2781
764,2782
765,2793
766,2794
767,2802
768,2803
769,2805
770,2816
771,2821
772,2827
773,2830
774,2834
775,2837
776,2839
777,2840
778,2841
779,2845
780,2848
781,2852
782,2854
783,2859
784,2862
785,2864
786,2867
787,2870
788,2873
789,2877
790,2878
791,2879
792,2894
793,2895
794,2896
795,2897
796,2903
797,2904
798,2906
799,2908
800,2909
801,2926
802,2931
803,2933
804,2934
805,2937
806,2939
807,2940
808,2941
809,2942
810,2948
811,2949
812,2950
813,2951
814,2953
815,2956
816,2959
817,2966
818,2969
819,2970
820,2974
821,2975
822,2996
823,2997
