,0
0,0
1,2
2,3
3,5
4,8
5,9
6,11
7,17
8,28
9,29
10,34
11,36
12,46
13,53
14,60
15,65
16,66
17,85
18,86
19,91
20,92
21,94
22,99
23,100
24,102
25,107
26,137
27,143
28,146
29,149
30,155
31,163
32,166
33,173
34,177
35,195
36,196
37,199
38,209
39,210
40,214
41,221
42,224
43,229
44,230
45,231
46,235
47,236
48,237
49,241
50,245
51,257
52,265
53,268
54,274
55,275
56,277
57,281
58,285
59,290
60,291
61,294
62,295
63,300
64,303
65,306
66,311
67,315
68,324
69,326
70,327
71,336
72,338
73,339
74,343
75,345
76,350
77,357
78,365
79,371
80,376
81,380
82,388
83,395
84,398
85,401
86,411
87,415
88,422
89,424
90,425
91,428
92,436
93,449
94,450
95,457
96,463
97,468
98,470
99,472
100,476
101,480
102,481
103,486
104,487
105,494
106,495
107,503
108,506
109,507
110,511
111,516
112,523
113,524
114,530
115,531
116,533
117,534
118,540
119,544
120,551
121,554
122,563
123,570
124,579
125,581
126,583
127,585
128,586
129,590
130,592
131,598
132,610
133,615
134,617
135,621
136,624
137,627
138,630
139,632
140,635
141,639
142,640
143,646
144,655
145,656
146,661
147,664
148,669
149,670
150,675
151,678
152,685
153,696
154,700
155,702
156,714
157,717
158,720
159,721
160,730
161,736
162,737
163,741
164,747
165,751
166,752
167,753
168,756
169,760
170,772
171,773
172,786
173,791
174,797
175,798
176,813
177,828
178,836
179,838
180,844
181,847
182,850
183,858
184,859
185,861
186,864
187,867
188,868
189,876
190,880
191,888
192,889
193,899
194,902
195,907
196,924
197,927
198,929
199,935
200,939
201,940
202,941
203,957
204,958
205,962
206,965
207,966
208,980
209,982
210,989
211,992
212,993
213,996
214,1003
215,1010
216,1014
217,1016
218,1019
219,1025
220,1033
221,1041
222,1047
223,1049
224,1058
225,1059
226,1060
227,1061
228,1066
229,1067
230,1068
231,1074
232,1078
233,1082
234,1085
235,1088
236,1090
237,1097
238,1098
239,1099
240,1105
241,1107
242,1108
243,1110
244,1112
245,1117
246,1119
247,1120
248,1121
249,1127
250,1129
251,1138
252,1139
253,1140
254,1144
255,1145
256,1152
257,1154
258,1155
259,1157
260,1158
261,1167
262,1175
263,1181
264,1184
265,1191
266,1194
267,1204
268,1205
269,1206
270,1211
271,1219
272,1221
273,1223
274,1225
275,1236
276,1238
277,1239
278,1244
279,1248
280,1255
281,1260
282,1261
283,1263
284,1285
285,1286
286,1289
287,1293
288,1294
289,1295
290,1298
291,1299
292,1300
293,1301
294,1309
295,1311
296,1315
297,1317
298,1321
299,1330
300,1332
301,1345
302,1353
303,1358
304,1367
305,1376
306,1377
307,1385
308,1386
309,1391
310,1394
311,1396
312,1403
313,1405
314,1415
315,1424
316,1425
317,1426
318,1429
319,1433
320,1440
321,1442
322,1454
323,1456
324,1461
325,1465
326,1467
327,1471
328,1472
329,1474
330,1475
331,1483
332,1485
333,1493
334,1504
335,1508
336,1511
337,1521
338,1525
339,1528
340,1529
341,1530
342,1535
343,1537
344,1543
345,1556
346,1559
347,1576
348,1577
349,1579
350,1606
351,1608
352,1609
353,1615
354,1616
355,1617
356,1618
357,1621
358,1633
359,1635
360,1638
361,1639
362,1641
363,1646
364,1654
365,1656
366,1664
367,1666
368,1669
369,1673
370,1674
371,1687
372,1692
373,1693
374,1697
375,1699
376,1700
377,1702
378,1708
379,1718
380,1724
381,1729
382,1731
383,1732
384,1733
385,1746
386,1749
387,1755
388,1766
389,1772
390,1778
391,1780
392,1791
393,1801
394,1807
395,1819
396,1822
397,1825
398,1827
399,1839
400,1841
401,1860
402,1863
403,1883
404,1886
405,1887
406,1888
407,1898
408,1901
409,1903
410,1905
411,1906
412,1907
413,1908
414,1911
415,1913
416,1920
417,1927
418,1934
419,1942
420,1952
421,1953
422,1954
423,1955
424,1957
425,1960
426,1969
427,1973
428,1981
429,1987
430,1992
431,1994
432,1998
433,2000
434,2008
435,2010
436,2016
437,2018
438,2019
439,2020
440,2022
441,2023
442,2025
443,2031
444,2035
445,2041
446,2046
447,2051
448,2052
449,2057
450,2062
451,2066
452,2067
453,2074
454,2078
455,2085
456,2090
457,2092
458,2096
459,2099
460,2100
461,2105
462,2107
463,2108
464,2114
465,2119
466,2126
467,2129
468,2130
469,2135
470,2140
471,2142
472,2146
473,2152
474,2156
475,2162
476,2166
477,2169
478,2170
479,2173
480,2178
481,2179
482,2183
483,2199
484,2205
485,2208
486,2210
487,2213
488,2219
489,2221
490,2226
491,2229
492,2231
493,2240
494,2253
495,2257
496,2258
497,2259
498,2261
499,2264
500,2266
501,2269
502,2273
503,2274
504,2276
505,2290
506,2291
507,2292
508,2295
509,2301
510,2304
511,2312
512,2323
513,2327
514,2331
515,2332
516,2333
517,2335
518,2339
519,2347
520,2349
521,2351
522,2353
523,2355
524,2356
525,2358
526,2364
527,2369
528,2382
529,2386
530,2387
531,2392
532,2406
533,2410
534,2411
535,2412
536,2418
537,2423
538,2427
539,2428
540,2432
541,2433
542,2434
543,2435
544,2443
545,2454
546,2455
547,2460
548,2461
549,2465
550,2470
551,2472
552,2475
553,2480
554,2484
555,2487
556,2488
557,2501
558,2505
559,2508
560,2513
561,2514
562,2515
563,2517
564,2524
565,2529
566,2531
567,2533
568,2541
569,2542
570,2548
571,2550
572,2557
573,2558
574,2564
575,2565
576,2566
577,2568
578,2572
579,2573
580,2579
581,2581
582,2585
583,2596
584,2600
585,2621
586,2622
587,2624
588,2625
589,2636
590,2642
591,2647
592,2656
593,2660
594,2665
595,2667
596,2669
597,2674
598,2677
599,2678
600,2679
601,2682
602,2683
603,2687
604,2694
605,2695
606,2699
607,2701
608,2702
609,2713
610,2719
611,2720
612,2722
613,2723
614,2725
615,2730
616,2731
617,2736
618,2737
619,2740
620,2746
621,2757
622,2758
623,2760
624,2763
625,2776
626,2782
627,2783
628,2784
629,2794
630,2802
631,2803
632,2805
633,2816
634,2821
635,2827
636,2830
637,2831
638,2834
639,2837
640,2839
641,2840
642,2841
643,2848
644,2854
645,2859
646,2862
647,2864
648,2867
649,2870
650,2873
651,2878
652,2879
653,2894
654,2895
655,2897
656,2903
657,2908
658,2909
659,2921
660,2926
661,2937
662,2941
663,2948
664,2951
665,2953
666,2956
667,2959
668,2971
669,2974
670,2996
671,3001
672,3004
673,3009
674,3012
675,3014
676,3015
677,3016
678,3020
679,3026
680,3030
681,3035
682,3036
683,3039
684,3042
685,3043
686,3046
687,3047
688,3048
689,3049
690,3054
691,3059
692,3065
693,3066
694,3068
695,3070
696,3071
697,3075
698,3086
699,3090
700,3091
701,3110
702,3113
703,3120
704,3122
705,3124
706,3128
707,3130
708,3131
709,3136
710,3138
711,3147
712,3149
713,3158
714,3171
715,3179
716,3180
717,3186
718,3188
719,3192
720,3194
721,3198
722,3200
723,3201
724,3204
725,3216
726,3219
727,3222
728,3223
729,3230
730,3238
731,3245
732,3246
733,3249
734,3253
735,3264
736,3271
737,3273
738,3277
739,3282
740,3284
741,3288
742,3291
743,3293
744,3297
745,3299
746,3300
747,3303
748,3304
749,3312
750,3314
751,3316
752,3317
753,3319
754,3321
755,3324
756,3332
757,3333
758,3337
759,3343
760,3350
761,3357
762,3360
763,3361
764,3362
765,3366
766,3369
767,3378
768,3386
769,3387
770,3389
771,3390
772,3393
773,3395
774,3404
775,3409
776,3410
777,3411
778,3412
779,3415
780,3419
781,3421
782,3427
783,3429
784,3435
785,3442
786,3448
787,3450
788,3452
789,3458
790,3461
791,3467
792,3471
793,3474
794,3479
795,3481
796,3482
797,3485
798,3488
799,3489
800,3490
801,3495
802,3496
803,3503
804,3513
805,3515
806,3516
807,3519
808,3520
809,3521
810,3523
811,3528
812,3531
813,3534
814,3536
815,3542
816,3554
817,3560
818,3563
819,3564
820,3566
821,3568
822,3572
823,3576
824,3580
825,3584
826,3587
827,3589
828,3597
829,3600
830,3606
831,3612
832,3616
833,3619
834,3622
835,3623
836,3625
837,3631
838,3636
839,3639
840,3641
841,3647
842,3652
843,3653
844,3663
845,3667
846,3671
847,3672
848,3673
849,3675
850,3678
851,3681
852,3683
853,3689
854,3690
855,3697
856,3703
857,3705
858,3706
859,3711
860,3716
861,3719
862,3721
863,3723
864,3737
865,3744
866,3746
867,3747
868,3750
869,3759
870,3760
871,3762
872,3763
873,3765
874,3766
875,3769
876,3773
877,3776
878,3777
879,3779
880,3781
881,3783
882,3785
883,3787
884,3791
885,3799
886,3802
887,3806
888,3812
889,3817
890,3822
891,3823
892,3824
893,3826
894,3831
895,3835
896,3841
897,3844
898,3851
899,3858
900,3860
901,3861
902,3862
903,3872
904,3886
905,3890
906,3893
907,3897
908,3902
909,3908
910,3926
911,3927
912,3937
913,3949
914,3954
915,3958
916,3960
917,3963
918,3965
919,3966
920,3970
921,3974
922,3976
923,3981
924,3985
925,3991
926,3998
927,4006
928,4008
929,4017
930,4027
931,4029
932,4038
933,4041
934,4047
935,4049
936,4052
937,4060
938,4066
939,4072
940,4079
941,4081
942,4092
943,4093
944,4103
945,4104
946,4108
947,4109
948,4111
949,4114
950,4124
951,4140
952,4141
953,4145
954,4147
955,4150
956,4161
957,4165
958,4166
959,4167
960,4172
961,4175
962,4177
963,4178
964,4186
965,4191
966,4197
967,4202
968,4203
969,4205
970,4209
971,4212
972,4213
973,4215
974,4218
975,4221
976,4223
977,4232
978,4237
979,4245
980,4248
981,4249
982,4251
983,4252
984,4257
985,4266
986,4267
987,4277
988,4280
989,4281
990,4288
991,4291
992,4292
993,4301
994,4304
995,4306
996,4310
997,4313
998,4319
999,4322
1000,4336
1001,4338
1002,4343
1003,4346
1004,4347
1005,4351
1006,4354
1007,4360
1008,4380
1009,4381
1010,4389
1011,4395
1012,4404
1013,4405
1014,4413
1015,4414
1016,4422
1017,4425
1018,4430
1019,4433
1020,4435
1021,4442
1022,4446
1023,4450
1024,4451
1025,4456
1026,4477
1027,4481
1028,4498
1029,4505
1030,4510
1031,4514
1032,4516
1033,4523
1034,4547
1035,4555
1036,4557
1037,4559
1038,4560
1039,4563
1040,4565
1041,4566
1042,4571
1043,4574
1044,4579
1045,4580
1046,4589
1047,4590
1048,4596
1049,4618
1050,4627
1051,4639
1052,4645
1053,4647
1054,4653
1055,4655
1056,4657
1057,4661
1058,4665
1059,4671
1060,4675
1061,4688
1062,4691
1063,4693
1064,4695
